Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom
3.533,0.119,0.872,0.23,0.333
3.507,0.245,0.791,0.194,0.349
3.495,0.305,0.432,0.247,0.38
3.471,0.369,0.946,0.326,0.582
3.462,0.777,0.396,0.501,0.082
3.349,0.511,1.042,0.365,0.39
2.905,0.092,0.63,0.152,0.06
2.693,0.0,0.0,0.019,0.271
7.632,1.305,1.592,0.874,0.681
7.594,1.456,1.582,0.861,0.686
7.555,1.351,1.59,0.868,0.683
7.495,1.343,1.644,0.914,0.677
7.487,1.42,1.549,0.927,0.66
7.441,1.361,1.488,0.878,0.638
7.328,1.33,1.532,0.896,0.653
7.324,1.268,1.601,0.876,0.669
7.314,1.355,1.501,0.913,0.659
7.272,1.34,1.573,0.91,0.647
7.19,1.244,1.433,0.888,0.464
7.139,1.341,1.504,0.891,0.617
7.072,1.01,1.459,0.817,0.632
6.977,1.448,1.583,0.876,0.614
6.965,1.34,1.474,0.861,0.586
6.927,1.324,1.483,0.894,0.583
6.91,1.576,1.52,0.896,0.632
6.886,1.398,1.471,0.819,0.547
6.814,1.301,1.559,0.883,0.533
6.774,2.096,0.776,0.67,0.284
6.711,1.233,1.489,0.854,0.543
6.627,1.27,1.525,0.884,0.645
6.489,1.293,1.466,0.908,0.52
6.488,1.038,1.252,0.761,0.479
6.476,1.131,1.331,0.808,0.431
6.441,1.365,1.436,0.857,0.418
6.43,1.112,1.438,0.759,0.597
6.419,0.986,1.474,0.675,0.493
6.388,1.073,1.468,0.744,0.57
6.382,0.781,1.268,0.608,0.604
6.379,1.093,1.459,0.771,0.625
6.374,1.649,1.303,0.748,0.654
6.371,1.379,1.331,0.633,0.509
6.343,1.529,1.451,1.008,0.631
6.322,1.161,1.258,0.669,0.356
6.31,1.251,1.538,0.965,0.449
6.26,0.96,1.439,0.635,0.531
6.192,1.223,1.492,0.564,0.575
6.173,1.21,1.537,0.776,0.354
6.167,0.806,1.231,0.639,0.461
6.141,0.668,1.319,0.7,0.527
6.123,1.176,1.448,0.781,0.546
6.105,1.338,1.366,0.698,0.594
6.096,0.719,1.584,0.605,0.724
6.083,1.474,1.301,0.675,0.554
6.072,1.016,1.417,0.707,0.637
6.0,1.264,1.501,0.946,0.281
5.973,0.889,1.33,0.736,0.556
5.956,0.807,1.101,0.474,0.593
5.952,1.197,1.527,0.716,0.35
5.948,1.219,1.506,0.856,0.633
5.945,1.116,1.219,0.726,0.528
5.933,1.148,1.454,0.671,0.363
5.915,1.294,1.462,0.988,0.553
5.891,1.09,1.387,0.684,0.584
5.89,0.819,1.493,0.693,0.575
5.875,1.266,1.204,0.955,0.244
5.835,1.229,1.211,0.909,0.495
5.81,1.151,1.479,0.599,0.399
5.79,1.143,1.516,0.631,0.454
5.762,1.229,1.191,0.909,0.423
5.752,0.751,1.223,0.508,0.606
5.739,1.2,1.532,0.737,0.553
5.681,0.835,1.522,0.615,0.541
5.663,0.934,1.249,0.674,0.53
5.662,0.855,1.23,0.578,0.448
5.64,0.657,1.301,0.62,0.232
5.636,1.016,1.533,0.517,0.417
5.62,1.171,1.401,0.732,0.259
5.566,0.985,1.35,0.553,0.496
5.524,0.775,1.312,0.513,0.643
5.504,0.62,1.205,0.622,0.459
5.483,1.039,1.498,0.7,0.307
5.483,1.148,1.38,0.686,0.324
5.472,0.652,0.81,0.424,0.334
5.43,1.405,1.29,1.03,0.524
5.41,1.188,1.429,0.884,0.562
5.398,0.975,1.369,0.685,0.288
5.358,1.154,1.202,0.879,0.131
5.358,0.965,1.179,0.785,0.503
5.347,1.017,1.279,0.729,0.259
5.321,1.115,1.161,0.737,0.38
5.302,0.982,1.441,0.614,0.578
5.295,0.979,1.154,0.687,0.077
5.254,0.779,0.797,0.669,0.46
5.246,0.989,1.142,0.799,0.597
5.201,1.024,1.161,0.603,0.43
5.199,0.474,1.166,0.598,0.292
5.185,0.959,1.239,0.691,0.394
5.161,0.822,1.265,0.645,0.468
5.155,0.689,1.172,0.048,0.462
5.131,0.53,1.416,0.594,0.54
5.129,0.915,1.078,0.758,0.28
5.125,0.914,1.517,0.575,0.395
5.103,0.715,1.365,0.702,0.618
5.093,0.899,1.215,0.522,0.538
5.082,0.796,1.335,0.527,0.541
4.982,0.0,0.712,0.115,0.674
4.975,0.535,0.891,0.182,0.454
4.933,1.054,1.515,0.712,0.359
4.88,0.425,1.228,0.539,0.526
4.806,0.996,1.469,0.657,0.133
4.758,1.036,1.164,0.404,0.356
4.743,0.642,1.217,0.602,0.266
4.724,0.94,1.41,0.33,0.516
4.707,1.059,0.771,0.691,0.459
4.671,0.541,0.872,0.08,0.467
4.657,0.592,0.896,0.337,0.499
4.631,0.429,1.117,0.433,0.406
4.623,0.72,1.034,0.441,0.626
4.592,0.9,0.906,0.69,0.271
4.586,0.916,0.817,0.79,0.419
4.571,0.256,0.813,0.0,0.355
